image,grid_width,block_width,start,goal,cpu_runtime,gpu_runtime,cpu_path_length,gpu_path_length,cpu_path_exists,gpu_path_exists
dataset/select-maps/simplest/combat.png,128,16,1076,14403,0.04328615590929985,0.031020822003483772,105,105,True,True
dataset/select-maps/simplest/orz704d.png,128,16,8948,7062,0.02045184886083007,0.02609229600057006,95,0,True,False
dataset/select-maps/simplest/lak507d.png,128,16,1732,15157,0.04255835199728608,0.029622334986925125,106,106,True,True
dataset/select-maps/simplest/lak507d.png,128,16,2906,11794,0.015862708911299706,0.027819103095680475,77,81,True,True
dataset/select-maps/simplest/lak101d.png,128,16,5581,16027,0.018318483140319586,0.022880158852785826,83,84,True,True
dataset/select-maps/simplest/arena.png,128,16,12182,392,0.014427746180444956,0.023635306395590305,93,95,True,True
dataset/select-maps/simplest/combat.png,128,16,7528,13332,0.019233262166380882,0.030378826893866062,85,85,True,True
dataset/select-maps/simplest/lak507d.png,128,16,8851,5365,0.023345765192061663,0.025090212002396584,101,101,True,True
dataset/select-maps/simplest/lak507d.png,128,16,1187,10603,0.01773289917036891,0.02993895811960101,74,76,True,True
dataset/select-maps/simplest/lak307d.png,128,16,12584,3554,0.015204845927655697,0.02246806211769581,84,84,True,True
dataset/select-maps/simplest/combat2.png,128,16,14552,103,0.05899986019358039,0.030139324255287647,116,116,True,True
dataset/select-maps/simplest/lak507d.png,128,16,13797,1318,0.01453357981517911,0.024499062914401293,98,98,True,True
dataset/select-maps/simplest/lak507d.png,128,16,14427,1694,0.015364628750830889,0.029300281777977943,100,100,True,True
dataset/select-maps/simplest/orz704d.png,128,16,10219,9349,0.0267535331659019,0.021348082926124334,103,103,True,True
dataset/select-maps/simplest/orz704d.png,128,16,8461,9977,0.031623811926692724,0.02292738016694784,109,109,True,True
dataset/select-maps/simplest/lak507d.png,128,16,7827,4588,0.021877409890294075,0.022908378392457962,91,91,True,True
dataset/select-maps/simplest/orz704d.png,128,16,7139,7686,0.02804514905437827,0.02073373692110181,94,94,True,True
dataset/select-maps/simplest/combat2.png,128,16,15500,1011,0.019760786090046167,0.023456918075680733,145,0,True,False
dataset/select-maps/simplest/lak101d.png,128,16,14771,3799,0.014915415085852146,0.02096424112096429,90,90,True,True
dataset/select-maps/simplest/orz704d.png,128,16,9716,7185,0.021142651792615652,0.021169795654714108,100,100,True,True
dataset/select-maps/simplest/arena.png,128,16,12533,654,0.015049018897116184,0.025921300053596497,104,104,True,True
dataset/select-maps/simplest/arena.png,128,16,15191,2066,0.015172149054706097,0.029379710089415312,103,103,True,True
dataset/select-maps/simplest/combat.png,128,16,16341,3433,0.015061517246067524,0.028348275925964117,102,102,True,True
dataset/select-maps/simplest/ost004d.png,128,16,6795,5752,0.02751233335584402,0.03154560038819909,110,110,True,True
dataset/select-maps/simplest/lak307d.png,128,16,8059,14503,0.01758161885663867,0.03269142983481288,86,86,True,True
dataset/select-maps/simplest/combat.png,128,16,14967,2541,0.014653346035629511,0.029246241319924593,98,98,True,True
dataset/select-maps/simplest/arena.png,128,16,1001,14910,0.03447620291262865,0.03112152311950922,110,110,True,True
dataset/select-maps/simplest/combat2.png,128,16,16265,5237,0.017906033899635077,0.029726190958172083,129,0,True,False
