image,grid_width,block_width,start,goal,cpu_runtime,gpu_runtime,cpu_path_length,gpu_path_length,cpu_path_exists,gpu_path_exists
dataset/select-maps/simplest/lak307d.png,32,8,603,259,0.0011126729659736156,0.008672152180224657,25,25,True,True
dataset/select-maps/simplest/arena.png,32,8,864,475,0.0009990162216126919,0.009863321203738451,29,29,True,True
dataset/select-maps/simplest/combat.png,32,8,254,844,0.0008233478292822838,0.009923950769007206,20,23,True,True
dataset/select-maps/simplest/lak307d.png,32,8,870,105,0.000882789958268404,0.009053064975887537,25,25,True,True
dataset/select-maps/simplest/lak101d.png,32,8,774,246,0.0008885888382792473,0.008566753938794136,22,22,True,True
dataset/select-maps/simplest/orz704d.png,32,8,412,613,0.0009863479062914848,0.008851396851241589,24,24,True,True
dataset/select-maps/simplest/combat.png,32,8,997,476,0.0008910479955375195,0.00970653910189867,26,26,True,True
dataset/select-maps/simplest/lak507d.png,32,8,667,262,0.0010120742954313755,0.008416235912591219,22,22,True,True
dataset/select-maps/simplest/orz704d.png,32,8,578,638,0.0010138321667909622,0.008418716955929995,29,29,True,True
dataset/select-maps/simplest/lak101d.png,32,8,901,343,0.0008056890219449997,0.008784298785030842,24,24,True,True
dataset/select-maps/simplest/combat2.png,32,8,195,952,0.0009173238649964333,0.009591944981366396,24,25,True,True
dataset/select-maps/simplest/ost004d.png,32,8,642,857,0.0010077636688947678,0.009147165343165398,24,24,True,True
dataset/select-maps/simplest/combat.png,32,8,508,388,0.0009350152686238289,0.009664049837738276,25,25,True,True
dataset/select-maps/simplest/lak307d.png,32,8,134,413,0.0009207278490066528,0.008665122091770172,24,24,True,True
dataset/select-maps/simplest/orz704d.png,32,8,282,482,0.001081341877579689,0.008672552648931742,25,25,True,True
dataset/select-maps/simplest/ost004d.png,32,8,506,513,0.0009512319229543209,0.00873386301100254,26,26,True,True
dataset/select-maps/simplest/lak307d.png,32,8,16,883,0.0011443388648331165,0.009501563850790262,28,28,True,True
dataset/select-maps/simplest/arena.png,32,8,870,410,0.0008380431681871414,0.008683087304234505,21,21,True,True
dataset/select-maps/simplest/combat2.png,32,8,694,131,0.0008714701980352402,0.008478054776787758,20,20,True,True
dataset/select-maps/simplest/arena.png,32,8,856,46,0.0008972249925136566,0.00844794325530529,26,26,True,True
dataset/select-maps/simplest/combat.png,32,8,699,676,0.0011423802934587002,0.009969741106033325,24,24,True,True
dataset/select-maps/simplest/combat.png,32,8,471,225,0.0009099892340600491,0.008463564328849316,23,23,True,True
dataset/select-maps/simplest/ost004d.png,32,8,872,380,0.0008486593142151833,0.009535713121294975,23,23,True,True
dataset/select-maps/simplest/combat2.png,32,8,144,1002,0.0011405609548091888,0.009779075160622597,28,28,True,True
dataset/select-maps/simplest/ost004d.png,32,8,708,573,0.0009548719972372055,0.009392119944095612,26,26,True,True
dataset/select-maps/simplest/orz704d.png,32,8,477,453,0.001039785798639059,0.008670214097946882,25,25,True,True
dataset/select-maps/simplest/arena.png,32,8,55,990,0.0011588907800614834,0.010083823930472136,30,30,True,True
dataset/select-maps/simplest/lak507d.png,32,8,825,449,0.00094267213717103,0.008811604231595993,25,25,True,True
dataset/select-maps/simplest/lak507d.png,32,8,118,854,0.0010984428226947784,0.01026090607047081,24,24,True,True
dataset/select-maps/simplest/lak101d.png,32,8,908,141,0.0008625010959804058,0.008111849892884493,25,25,True,True
dataset/select-maps/simplest/lak307d.png,32,8,696,166,0.0009298059158027172,0.008227038197219372,19,19,True,True
dataset/select-maps/simplest/lak307d.png,32,8,83,645,0.001007359940558672,0.009022617246955633,19,21,True,True
dataset/select-maps/simplest/lak101d.png,32,8,201,967,0.0009953300468623638,0.010088927112519741,25,25,True,True
dataset/select-maps/simplest/ost004d.png,32,8,514,476,0.0011606891639530659,0.009053565096110106,27,27,True,True
dataset/select-maps/simplest/lak507d.png,32,8,762,80,0.0008458178490400314,0.008210226893424988,22,22,True,True
dataset/select-maps/simplest/combat2.png,32,8,883,136,0.0008667260408401489,0.00821708980947733,24,24,True,True
dataset/select-maps/simplest/combat2.png,32,8,993,172,0.0008743829093873501,0.009214219637215137,27,27,True,True
dataset/select-maps/simplest/lak307d.png,32,8,776,47,0.0010100919753313065,0.009253139141947031,24,24,True,True
dataset/select-maps/simplest/lak507d.png,32,8,739,410,0.0009168288670480251,0.008295818231999874,24,24,True,True
dataset/select-maps/simplest/combat2.png,32,8,175,769,0.0008496330119669437,0.009342670906335115,20,20,True,True
dataset/select-maps/simplest/lak101d.png,32,8,276,935,0.0008982480503618717,0.009302549995481968,22,22,True,True
dataset/select-maps/simplest/ost004d.png,32,8,872,117,0.0008884882554411888,0.008242977783083916,27,27,True,True
