image,grid_width,block_width,start,goal,cpu_runtime,gpu_runtime,cpu_path_length,gpu_path_length,cpu_path_exists,gpu_path_exists
dataset/select-maps/simplest/lak507d.png,512,16,219948,30990,0.3808381659910083,0.17927882121875882,370,370,True,True
dataset/select-maps/simplest/lak507d.png,512,16,248591,38695,0.39564979588612914,0.2325412891805172,411,411,True,True
dataset/select-maps/simplest/combat.png,512,16,257252,37329,1.3642532681114972,0.18831843696534634,468,0,True,False
dataset/select-maps/simplest/arena.png,512,16,181796,97162,1.5175954150035977,0.21490398282185197,370,0,True,False
dataset/select-maps/simplest/orz704d.png,512,16,119771,139828,1.8314313129521906,0.17150155315175653,424,424,True,True
dataset/select-maps/simplest/lak307d.png,512,16,198585,47784,0.3603542558848858,0.193846323993057,295,295,True,True
dataset/select-maps/simplest/orz704d.png,512,16,138839,151495,1.7812738763168454,0.17659789696335793,369,369,True,True
dataset/select-maps/simplest/arena.png,512,16,210519,19899,0.5438994439318776,0.21327943680807948,458,458,True,True
dataset/select-maps/simplest/orz704d.png,512,16,139160,140837,1.6446336568333209,0.17406028183177114,372,372,True,True
dataset/select-maps/simplest/arena.png,512,16,144327,66172,0.6899623284116387,0.20768811600282788,332,0,True,False
dataset/select-maps/simplest/lak307d.png,512,16,245447,59822,0.4100474026054144,0.22581657394766808,394,394,True,True
dataset/select-maps/simplest/combat2.png,512,16,2188,251069,4.249754603020847,0.20694141183048487,487,487,True,True
dataset/select-maps/simplest/arena.png,512,16,214406,8069,0.4021361651830375,0.2356165531091392,404,404,True,True
dataset/select-maps/simplest/lak307d.png,512,16,96720,220310,0.5703296959400177,0.19791681692004204,326,0,True,False
dataset/select-maps/simplest/ost004d.png,512,16,123929,162223,2.275176438037306,0.20636945823207498,407,407,True,True
dataset/select-maps/simplest/lak101d.png,512,16,231056,81821,0.48650521505624056,0.1714325500652194,357,357,True,True
dataset/select-maps/simplest/arena.png,512,16,50774,228330,0.8747252011671662,0.2318727602250874,433,0,True,False
dataset/select-maps/simplest/lak101d.png,512,16,50361,236153,1.7609819518402219,0.18031809711828828,364,0,True,False
dataset/select-maps/simplest/ost004d.png,512,16,92225,229256,0.5673500988632441,0.2159077851101756,328,332,True,True
dataset/select-maps/simplest/combat.png,512,16,63558,174978,0.7497909916564822,0.22263679979369044,317,317,True,True
dataset/select-maps/simplest/lak307d.png,512,16,202410,55709,0.4293716228567064,0.19548529898747802,333,0,True,False
dataset/select-maps/simplest/lak307d.png,512,16,123415,209291,1.4153840458020568,0.24453822569921613,373,373,True,True
dataset/select-maps/simplest/lak307d.png,512,16,119249,234115,0.768516646232456,0.1855907249264419,336,0,True,False
dataset/select-maps/simplest/lak507d.png,512,16,162771,55412,0.5982372448779643,0.21854987274855375,352,0,True,False
dataset/select-maps/simplest/orz704d.png,512,16,119325,119240,2.029906578361988,0.16667443793267012,428,0,True,False
dataset/select-maps/simplest/lak507d.png,512,16,39767,222926,1.7902548974379897,0.21094524394720793,359,361,True,True
dataset/select-maps/simplest/combat2.png,512,16,11838,191661,1.4327306994237006,0.22496921382844448,352,0,True,False
dataset/select-maps/simplest/orz704d.png,512,16,124990,121270,1.7553124511614442,0.1772785480134189,377,377,True,True
dataset/select-maps/simplest/orz704d.png,512,16,153184,155599,1.751403087284416,0.17726162169128656,368,368,True,True
dataset/select-maps/simplest/arena.png,512,16,63450,241410,1.0398300639353693,0.2279247660189867,349,351,True,True
dataset/select-maps/simplest/combat.png,512,16,146484,71058,0.9573102588765323,0.2117619039490819,356,356,True,True
dataset/select-maps/simplest/combat.png,512,16,7109,254194,1.6915367138572037,0.23545687040314078,484,0,True,False
dataset/select-maps/simplest/lak507d.png,512,16,47714,225487,1.9629681529477239,0.24148639990016818,348,349,True,True
dataset/select-maps/simplest/lak307d.png,512,16,21150,251150,2.721527063753456,0.2034667250700295,450,450,True,True
dataset/select-maps/simplest/arena.png,512,16,17972,248115,1.3584981537424028,0.26700650062412024,450,0,True,False
dataset/select-maps/simplest/lak307d.png,512,16,247541,63672,0.376331290230155,0.17171815503388643,360,360,True,True
dataset/select-maps/simplest/ost004d.png,512,16,81514,197005,0.5870951949618757,0.20870350394397974,292,294,True,True
dataset/select-maps/simplest/lak507d.png,512,16,155199,178132,2.2843158370815217,0.20474887872114778,406,406,True,True
dataset/select-maps/simplest/ost004d.png,512,16,115161,144498,1.6548485271632671,0.2007753560319543,360,360,True,True
dataset/select-maps/simplest/combat2.png,512,16,186427,29514,0.4474830459803343,0.20919929025694728,363,363,True,True
dataset/select-maps/simplest/lak507d.png,512,16,50554,193628,0.4224019288085401,0.20483521977439523,304,313,True,True
dataset/select-maps/simplest/combat.png,512,16,102810,159263,1.4354474218562245,0.2133271051570773,380,380,True,True
dataset/select-maps/simplest/arena.png,512,16,90001,113176,1.6502341972663999,0.2055519069544971,378,0,True,False
dataset/select-maps/simplest/lak507d.png,512,16,50011,234764,2.4016934619285166,0.2718365197069943,362,362,True,True
dataset/select-maps/simplest/lak507d.png,512,16,107106,161241,1.8379161600023508,0.17545113991945982,376,376,True,True
dataset/select-maps/simplest/arena.png,512,16,93091,220196,0.6339969458058476,0.24709179298952222,384,0,True,False
dataset/select-maps/simplest/arena.png,512,16,20910,214505,2.230516192037612,0.2012808551080525,379,379,True,True
dataset/select-maps/simplest/orz704d.png,512,16,153493,114738,1.2108979816548526,0.1704535149037838,356,356,True,True
dataset/select-maps/simplest/orz704d.png,512,16,167819,139792,1.4487092709168792,0.16977837402373552,380,380,True,True
dataset/select-maps/simplest/orz704d.png,512,16,132629,150446,2.264695654157549,0.17695439420640469,410,410,True,True
dataset/select-maps/simplest/combat.png,512,16,184156,35896,0.8238762021064758,0.20041764294728637,320,0,True,False
dataset/select-maps/simplest/orz704d.png,512,16,94640,135739,1.6571604637429118,0.1720641329884529,374,0,True,False
dataset/select-maps/simplest/combat2.png,512,16,131694,211934,1.3226012540981174,0.22530690301209688,369,369,True,True
dataset/select-maps/simplest/lak507d.png,512,16,25352,233135,2.793151080608368,0.22875325102359056,407,409,True,True
dataset/select-maps/simplest/combat2.png,512,16,180135,234028,13.633625735994428,0.25983442133292556,389,0,True,False
dataset/select-maps/simplest/arena.png,512,16,59727,252387,1.7430438729934394,0.20420046569779515,377,377,True,True
dataset/select-maps/simplest/lak507d.png,512,16,44809,225644,2.1044548070058227,0.2800959972664714,354,355,True,True
dataset/select-maps/simplest/combat.png,512,16,52776,200021,0.43807477876544,0.20516849495470524,302,309,True,True
dataset/select-maps/simplest/lak507d.png,512,16,229244,25474,0.3845215421169996,0.19421353517100215,399,399,True,True
dataset/select-maps/simplest/ost004d.png,512,16,41342,148557,0.4928106218576431,0.19532679906114936,306,308,True,True
dataset/select-maps/simplest/lak307d.png,512,16,30871,186252,0.5815198454074562,0.21237745322287083,304,305,True,True
dataset/select-maps/simplest/lak101d.png,512,16,230145,50324,0.3860083445906639,0.17622024985030293,352,353,True,True
dataset/select-maps/simplest/combat2.png,512,16,244539,14617,0.3980442238971591,0.20824728207662702,450,450,True,True
dataset/select-maps/simplest/arena.png,512,16,249691,12429,0.3979904209263623,0.20563730876892805,464,464,True,True
dataset/select-maps/simplest/combat.png,512,16,23707,260126,2.3689066120423377,0.22377062402665615,463,463,True,True
dataset/select-maps/simplest/lak101d.png,512,16,235172,70560,0.42588781705126166,0.20572449872270226,367,367,True,True
dataset/select-maps/simplest/lak101d.png,512,16,247438,71071,0.4332010759972036,0.14653330156579614,390,390,True,True
dataset/select-maps/simplest/orz704d.png,512,16,192425,144411,1.1926645170897245,0.20080107124522328,399,416,True,True
dataset/select-maps/simplest/combat.png,512,16,13799,46158,1.7218410577625036,0.1766264559701085,410,410,True,True
dataset/select-maps/simplest/orz704d.png,512,16,116259,163721,2.696065900847316,0.20594563614577055,359,359,True,True
dataset/select-maps/simplest/combat2.png,512,16,243947,47128,0.3828973709605634,0.21451833518221974,385,385,True,True
dataset/select-maps/simplest/combat.png,512,16,203851,11346,9.52345280116424,0.20228491676971316,389,0,True,False
dataset/select-maps/simplest/lak101d.png,512,16,64372,249462,0.727428310085088,0.18234686786308885,363,372,True,True
dataset/select-maps/simplest/lak507d.png,512,16,180183,25337,0.3723476189188659,0.19646588107571006,303,303,True,True
dataset/select-maps/simplest/arena.png,512,16,183563,15290,1.1609990471042693,0.20593208074569702,362,0,True,False
dataset/select-maps/simplest/lak507d.png,512,16,30034,189546,0.6839221203699708,0.20533070527017117,313,320,True,True
dataset/select-maps/simplest/ost004d.png,512,16,142911,67009,1.1179918879643083,0.2304886421188712,392,392,True,True
dataset/select-maps/simplest/lak307d.png,512,16,155696,124835,1.4778669038787484,0.18136931490153074,372,372,True,True
dataset/select-maps/simplest/lak307d.png,512,16,226696,20312,0.38098278921097517,0.22365767508745193,404,404,True,True
dataset/select-maps/simplest/combat.png,512,16,253395,134249,0.73359350906685,0.1868766639381647,363,363,True,True
dataset/select-maps/simplest/lak507d.png,512,16,25765,217214,6.879760366864502,0.2060728003270924,379,0,True,False
dataset/select-maps/simplest/combat2.png,512,16,181369,71107,0.6773357880301774,0.21102809719741344,355,355,True,True
dataset/select-maps/simplest/combat.png,512,16,125481,7088,0.7918131849728525,0.20781409880146384,406,406,True,True
dataset/select-maps/simplest/combat.png,512,16,52194,118928,1.0149265290237963,0.2089315210469067,339,339,True,True
dataset/select-maps/simplest/orz704d.png,512,16,146475,69539,0.8036504699848592,0.17357972403988242,383,383,True,True
dataset/select-maps/simplest/ost004d.png,512,16,44309,242343,2.2731929048895836,0.21550216199830174,388,0,True,False
dataset/select-maps/simplest/lak101d.png,512,16,68466,258698,1.1057774741202593,0.20167029602453113,373,378,True,True
dataset/select-maps/simplest/orz704d.png,512,16,157582,122387,1.4076987621374428,0.20113864820450544,380,380,True,True
dataset/select-maps/simplest/combat.png,512,16,251422,23328,0.4276572517119348,0.18403438106179237,477,477,True,True
dataset/select-maps/simplest/arena.png,512,16,126947,124433,2.2761893081478775,0.2362809651531279,467,467,True,True
dataset/select-maps/simplest/lak101d.png,512,16,79277,215732,0.8654529959894717,0.15863308170810342,314,0,True,False
dataset/select-maps/simplest/arena.png,512,16,59474,235860,0.7018946348689497,0.2258002026937902,345,347,True,True
dataset/select-maps/simplest/combat.png,512,16,246745,22038,1.9387674992904067,0.2009579110890627,519,0,True,False
dataset/select-maps/simplest/orz704d.png,512,16,111521,117792,1.838895222172141,0.17371411761268973,386,386,True,True
dataset/select-maps/simplest/combat.png,512,16,632,216676,3.3889403180219233,0.22386214137077332,423,423,True,True
dataset/select-maps/simplest/lak307d.png,512,16,102363,192062,1.2221220857463777,0.21725898329168558,414,0,True,False
dataset/select-maps/simplest/lak101d.png,512,16,77103,243809,1.2455644737929106,0.18007312808185816,327,0,True,False
dataset/select-maps/simplest/ost004d.png,512,16,155739,82359,0.9789758580736816,0.20169038092717528,357,357,True,True
dataset/select-maps/simplest/combat2.png,512,16,220285,36293,11.155209407676011,0.24024268193170428,456,0,True,False
dataset/select-maps/simplest/orz704d.png,512,16,143946,101836,1.2906451849266887,0.14687680592760444,387,0,True,False
dataset/select-maps/simplest/ost004d.png,512,16,118747,124462,2.0216967300511897,0.22650290001183748,430,430,True,True
dataset/select-maps/simplest/lak307d.png,512,16,38227,239440,3.4639425668865442,0.20840140199288726,394,395,True,True
dataset/select-maps/simplest/combat.png,512,16,43167,251037,3.653788323979825,0.234323606826365,407,407,True,True
dataset/select-maps/simplest/lak307d.png,512,16,47253,182224,0.5517464377917349,0.21091489493846893,316,318,True,True
dataset/select-maps/simplest/lak507d.png,512,16,191080,119739,1.7671538228169084,0.20023052114993334,344,344,True,True
dataset/select-maps/simplest/arena.png,512,16,227978,90494,0.6716239200904965,0.21066492097452283,323,0,True,False
dataset/select-maps/simplest/lak507d.png,512,16,32401,168348,0.39246047800406814,0.20554245496168733,268,276,True,True
dataset/select-maps/simplest/combat.png,512,16,213027,70490,0.5684126699343324,0.21253578318282962,379,379,True,True
dataset/select-maps/simplest/lak307d.png,512,16,209002,28872,0.3732955837622285,0.19157487899065018,361,361,True,True
dataset/select-maps/simplest/orz704d.png,512,16,117276,171932,2.0721382638439536,0.20790635887533426,385,0,True,False
dataset/select-maps/simplest/combat.png,512,16,49019,254672,1.9128394341096282,0.21422420674934983,403,404,True,True
dataset/select-maps/simplest/lak101d.png,512,16,85438,233128,1.3277131062932312,0.21588454395532608,365,0,True,False
dataset/select-maps/simplest/arena.png,512,16,154575,182823,1.8756896858103573,0.18590581603348255,425,425,True,True
dataset/select-maps/simplest/combat.png,512,16,9175,40019,1.6338100698776543,0.20742485811933875,389,389,True,True
dataset/select-maps/simplest/combat2.png,512,16,42529,254340,0.6266125934198499,0.23150601284578443,414,0,True,False
dataset/select-maps/simplest/orz704d.png,512,16,148402,140853,1.5565096070058644,0.17350320890545845,382,382,True,True
dataset/select-maps/simplest/ost004d.png,512,16,29057,196807,1.0953288758173585,0.2039896920323372,329,330,True,True
