image,grid_width,block_width,start,goal,cpu_runtime,gpu_runtime,cpu_path_length,gpu_path_length,cpu_path_exists,gpu_path_exists
dataset/select-maps/simplest/orz704d.png,128,4,7813,6130,0.022350368089973927,0.010465215891599655,110,111,True,True
dataset/select-maps/simplest/lak307d.png,128,4,11685,2529,0.015082499012351036,0.011279749916866422,85,85,True,True
dataset/select-maps/simplest/lak507d.png,128,4,3563,14914,0.026534694945439696,0.01086518494412303,90,92,True,True
dataset/select-maps/simplest/lak101d.png,128,4,14760,4316,0.01482927706092596,0.010813031112775207,91,91,True,True
dataset/select-maps/simplest/combat.png,128,4,14617,9454,0.018616622081026435,0.010819383896887302,90,90,True,True
dataset/select-maps/simplest/lak101d.png,128,4,4437,15898,0.018178670899942517,0.010645929025486112,91,93,True,True
dataset/select-maps/simplest/arena.png,128,4,13796,3079,0.014852159889414907,0.011189982993528247,94,94,True,True
dataset/select-maps/simplest/combat.png,128,4,9379,1382,0.015778830973431468,0.011076878989115357,83,83,True,True
dataset/select-maps/simplest/orz704d.png,128,4,11611,8322,0.02080709603615105,0.009879671968519688,90,90,True,True
dataset/select-maps/simplest/lak307d.png,128,4,7284,1312,0.015544055961072445,0.010762890102341771,85,88,True,True
dataset/select-maps/simplest/orz704d.png,128,4,6775,9614,0.027085130102932453,0.010926143964752555,106,107,True,True
dataset/select-maps/simplest/combat.png,128,4,15704,2389,0.015201173955574632,0.011262187035754323,105,105,True,True
dataset/select-maps/simplest/orz704d.png,128,4,8448,6645,0.023294025100767612,0.010960361920297146,118,0,True,False
dataset/select-maps/simplest/ost004d.png,128,4,10124,7655,0.023829181911423802,0.010693620890378952,93,93,True,True
dataset/select-maps/simplest/combat2.png,128,4,14413,3614,0.014778746059164405,0.011521187145262957,85,85,True,True
dataset/select-maps/simplest/combat2.png,128,4,15460,6157,0.015166152967140079,0.01101689599454403,88,88,True,True
dataset/select-maps/simplest/combat.png,128,4,3873,15346,0.02027776907198131,0.01144837704487145,96,0,True,False
dataset/select-maps/simplest/arena.png,128,4,2278,12464,0.017494433093816042,0.011158537119626999,81,81,True,True
dataset/select-maps/simplest/arena.png,128,4,15355,5001,0.018637179862707853,0.010817982023581862,121,0,True,False
dataset/select-maps/simplest/combat2.png,128,4,2521,15451,0.04376578703522682,0.01172483409754932,102,102,True,True
dataset/select-maps/simplest/lak507d.png,128,4,15190,4011,0.013952546054497361,0.010671267053112388,88,88,True,True
dataset/select-maps/simplest/ost004d.png,128,4,4494,11253,0.025051682023331523,0.011415465036407113,104,105,True,True
dataset/select-maps/simplest/combat2.png,128,4,5346,9607,0.02307186694815755,0.01107002911157906,92,96,True,True
dataset/select-maps/simplest/arena.png,128,4,14876,9197,0.017380321864038706,0.012455916032195091,83,83,True,True
dataset/select-maps/simplest/lak307d.png,128,4,8309,11550,0.025410957168787718,0.010966235073283315,92,0,True,False
dataset/select-maps/simplest/combat.png,128,4,13069,2405,0.016644752817228436,0.01159603800624609,111,111,True,True
dataset/select-maps/simplest/ost004d.png,128,4,1826,13645,0.025208770064637065,0.010606764815747738,93,93,True,True
dataset/select-maps/simplest/lak307d.png,128,4,12905,3986,0.015787207055836916,0.010914589976891875,89,89,True,True
dataset/select-maps/simplest/arena.png,128,4,2178,13422,0.018739429069682956,0.011468170210719109,109,122,True,True
dataset/select-maps/simplest/arena.png,128,4,15034,2887,0.014672483084723353,0.011761449975892901,96,96,True,True
dataset/select-maps/simplest/arena.png,128,4,15645,4435,0.01497283298522234,0.011411664774641395,98,101,True,True
dataset/select-maps/simplest/combat2.png,128,4,14216,13033,0.038951711961999536,0.011807276867330074,100,0,True,False
dataset/select-maps/simplest/lak507d.png,128,4,449,15040,0.05068376800045371,0.011599960969761014,115,116,True,True
