image,grid_width,block_width,start,goal,cpu_runtime,gpu_runtime,cpu_path_length,gpu_path_length,cpu_path_exists,gpu_path_exists
dataset/select-maps/simplest/lak307d.png,16,16,219,8,0.00025105103850364685,0.010378648992627859,14,14,True,True
dataset/select-maps/simplest/lak307d.png,16,16,230,42,0.00021647405810654163,0.010316787986084819,13,13,True,True
dataset/select-maps/simplest/combat.png,16,16,216,17,0.00023930007591843605,0.009729937883093953,13,13,True,True
dataset/select-maps/simplest/orz704d.png,16,16,113,125,0.00024264981038868427,0.011326900916174054,13,13,True,True
dataset/select-maps/simplest/combat.png,16,16,11,216,0.0002611700911074877,0.014076286926865578,14,14,True,True
dataset/select-maps/simplest/combat2.png,16,16,17,157,0.00027017807587981224,0.011136061046272516,13,13,True,True
dataset/select-maps/simplest/orz704d.png,16,16,125,144,0.00025526201352477074,0.011442308081313968,14,14,True,True
dataset/select-maps/simplest/lak507d.png,16,16,113,110,0.0002558890264481306,0.011810192139819264,14,14,True,True
dataset/select-maps/simplest/ost004d.png,16,16,99,205,0.0003898260183632374,0.011913497000932693,11,11,True,True
dataset/select-maps/simplest/lak101d.png,16,16,75,227,0.00026082899421453476,0.010054417885839939,11,11,True,True
dataset/select-maps/simplest/lak101d.png,16,16,214,34,0.0002701010089367628,0.009792505064979196,12,12,True,True
dataset/select-maps/simplest/combat.png,16,16,244,37,0.0002326208632439375,0.009966006968170404,14,14,True,True
dataset/select-maps/simplest/ost004d.png,16,16,39,232,0.0003702789545059204,0.012991006951779127,13,13,True,True
dataset/select-maps/simplest/lak507d.png,16,16,126,81,0.0002901859115809202,0.010808921186253428,14,14,True,True
dataset/select-maps/simplest/ost004d.png,16,16,205,98,0.0002310441341251135,0.010732600931078196,12,12,True,True
dataset/select-maps/simplest/arena.png,16,16,242,49,0.0002322068903595209,0.012150367954745889,13,13,True,True
dataset/select-maps/simplest/ost004d.png,16,16,247,53,0.00023361598141491413,0.009613802889361978,13,13,True,True
dataset/select-maps/simplest/combat.png,16,16,77,161,0.0002731268759816885,0.010998571990057826,13,13,True,True
dataset/select-maps/simplest/lak307d.png,16,16,234,7,0.0002450128085911274,0.009589283028617501,15,15,True,True
dataset/select-maps/simplest/lak307d.png,16,16,230,127,0.0002470100298523903,0.012512268032878637,12,12,True,True
dataset/select-maps/simplest/combat2.png,16,16,219,7,0.00024985987693071365,0.010427221888676286,14,14,True,True
dataset/select-maps/simplest/lak101d.png,16,16,232,35,0.00030363909900188446,0.009766747010871768,13,13,True,True
dataset/select-maps/simplest/lak307d.png,16,16,110,128,0.0002480440307408571,0.012366629904136062,15,15,True,True
dataset/select-maps/simplest/orz704d.png,16,16,98,110,0.00024079717695713043,0.011189169948920608,13,13,True,True
dataset/select-maps/simplest/combat2.png,16,16,5,157,0.00023374194279313087,0.011138486908748746,10,10,True,True
dataset/select-maps/simplest/arena.png,16,16,40,233,0.0002829579170793295,0.014887573895975947,13,13,True,True
dataset/select-maps/simplest/lak101d.png,16,16,244,35,0.00023308000527322292,0.00942852790467441,14,14,True,True
dataset/select-maps/simplest/lak307d.png,16,16,188,22,0.00026686396449804306,0.009798082988709211,11,11,True,True
dataset/select-maps/simplest/orz704d.png,16,16,145,92,0.000335141085088253,0.00962853990495205,12,12,True,True
dataset/select-maps/simplest/orz704d.png,16,16,92,145,0.0003099958412349224,0.010310608893632889,12,12,True,True
dataset/select-maps/simplest/lak507d.png,16,16,94,228,0.00029496196657419205,0.01332323788665235,11,11,True,True
dataset/select-maps/simplest/combat2.png,16,16,6,157,0.0002655540592968464,0.010938690043985844,10,10,True,True
dataset/select-maps/simplest/ost004d.png,16,16,127,96,0.00025196000933647156,0.011552514974027872,16,16,True,True
dataset/select-maps/simplest/orz704d.png,16,16,92,144,0.00024622492492198944,0.010889597004279494,13,13,True,True
dataset/select-maps/simplest/lak101d.png,16,16,39,232,0.0002733480650931597,0.013032987946644425,13,13,True,True
dataset/select-maps/simplest/lak101d.png,16,16,37,226,0.00035663507878780365,0.010644582100212574,13,13,True,True
dataset/select-maps/simplest/ost004d.png,16,16,161,190,0.000301209045574069,0.012652104021981359,14,14,True,True
dataset/select-maps/simplest/lak101d.png,16,16,212,75,0.00023300200700759888,0.009388169972226024,12,12,True,True
dataset/select-maps/simplest/arena.png,16,16,61,179,0.00027339207008481026,0.012234891997650266,11,11,True,True
dataset/select-maps/simplest/combat.png,16,16,247,43,0.0002375559415668249,0.01031823898665607,14,14,True,True
dataset/select-maps/simplest/lak101d.png,16,16,76,228,0.00023660785518586636,0.010236389003694057,11,11,True,True
dataset/select-maps/simplest/lak307d.png,16,16,232,78,0.0002817469649016857,0.010929696029052138,11,11,True,True
dataset/select-maps/simplest/orz704d.png,16,16,142,129,0.0002339119091629982,0.010801686905324459,14,14,True,True
dataset/select-maps/simplest/orz704d.png,16,16,110,113,0.00023133703507483006,0.010895311133936048,14,14,True,True
dataset/select-maps/simplest/combat.png,16,16,241,68,0.0002312141004949808,0.010082298191264272,12,12,True,True
dataset/select-maps/simplest/ost004d.png,16,16,211,38,0.00026087998412549496,0.009613611968234181,12,12,True,True
dataset/select-maps/simplest/lak101d.png,16,16,37,216,0.0002590320073068142,0.011814146069809794,12,12,True,True
dataset/select-maps/simplest/combat.png,16,16,203,33,0.0002974180970340967,0.010400663129985332,11,11,True,True
dataset/select-maps/simplest/ost004d.png,16,16,60,231,0.00024542282335460186,0.010933572193607688,12,12,True,True
dataset/select-maps/simplest/combat.png,16,16,82,254,0.0003988558892160654,0.012618348933756351,13,13,True,True
dataset/select-maps/simplest/lak507d.png,16,16,142,162,0.00033729802817106247,0.011512256925925612,13,13,True,True
dataset/select-maps/simplest/lak307d.png,16,16,141,97,0.00026183901354670525,0.010577294044196606,13,13,True,True
dataset/select-maps/simplest/ost004d.png,16,16,228,56,0.00022246805019676685,0.010027008131146431,12,12,True,True
dataset/select-maps/simplest/lak507d.png,16,16,60,248,0.00032873707823455334,0.014852485852316022,13,13,True,True
dataset/select-maps/simplest/lak507d.png,16,16,158,82,0.00023728911764919758,0.010685813147574663,13,13,True,True
dataset/select-maps/simplest/combat2.png,16,16,243,38,0.00026091584004461765,0.010079720988869667,14,14,True,True
dataset/select-maps/simplest/orz704d.png,16,16,125,128,0.00026984396390616894,0.010583888040855527,14,14,True,True
dataset/select-maps/simplest/lak507d.png,16,16,40,228,0.0003084600903093815,0.013362694066017866,13,13,True,True
dataset/select-maps/simplest/lak507d.png,16,16,126,98,0.00023180292919278145,0.010451128939166665,13,13,True,True
dataset/select-maps/simplest/lak101d.png,16,16,59,228,0.0002530170604586601,0.010486367857083678,12,12,True,True
dataset/select-maps/simplest/lak507d.png,16,16,78,115,0.000264305854216218,0.010448758024722338,12,12,True,True
dataset/select-maps/simplest/lak507d.png,16,16,143,113,0.00024268310517072678,0.0108808190561831,15,15,True,True
dataset/select-maps/simplest/combat2.png,16,16,57,243,0.00027205701917409897,0.014015735127031803,13,13,True,True
dataset/select-maps/simplest/lak507d.png,16,16,53,190,0.0002522228751331568,0.012454704148694873,10,10,True,True
dataset/select-maps/simplest/lak307d.png,16,16,205,7,0.00023170793429017067,0.009737243875861168,13,13,True,True
dataset/select-maps/simplest/arena.png,16,16,47,83,0.00024046911858022213,0.011962598888203502,13,13,True,True
dataset/select-maps/simplest/combat2.png,16,16,37,245,0.00029393890872597694,0.014933994971215725,14,14,True,True
dataset/select-maps/simplest/lak307d.png,16,16,20,233,0.0002871989272534847,0.014114739140495658,14,14,True,True
dataset/select-maps/simplest/combat.png,16,16,251,145,0.00022436399012804031,0.010389828123152256,11,11,True,True
dataset/select-maps/simplest/arena.png,16,16,3,94,0.0002990029752254486,0.012561314040794969,12,12,True,True
